Unnamed: 0,isv_dst,effect_dst,isv_bin,effect_bin,both_bins,bias_label,class_label,strat_col,filepath,filename,morph_bias,intensity_bias
21,-0.1421740970257984,-1.672014680658656,4,4,4_4,0,0,0_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00000_-0.142_S_-1.672_D_0_B.tiff,00000_-0.142_S_-1.672_D_0_B.tiff,1,1
196,0.3689981113362617,0.9850002018442806,5,5,5_5,0,1,1_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00001_0.369_S_0.985_D_0_B.tiff,00001_0.369_S_0.985_D_0_B.tiff,1,1
79,-0.8147654067825716,0.6393916311007299,3,4,3_4,0,1,1_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00002_-0.815_S_0.639_D_0_B.tiff,00002_-0.815_S_0.639_D_0_B.tiff,1,1
581,0.7775169973515161,1.60689214283825,6,6,6_6,0,1,1_0_6_6,/home/emma/Documents/SBB/datasets/exp199/train/00003_0.778_S_1.607_D_0_B.tiff,00003_0.778_S_1.607_D_0_B.tiff,1,1
100,-1.0263824666507353,0.2786842521513953,3,4,3_4,0,1,1_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00004_-1.026_S_0.279_D_0_B.tiff,00004_-1.026_S_0.279_D_0_B.tiff,1,1
397,-0.6243379754097641,0.3108408428384702,4,4,4_4,0,1,1_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00005_-0.624_S_0.311_D_0_B.tiff,00005_-0.624_S_0.311_D_0_B.tiff,1,1
216,0.443165495005024,0.9049069343015422,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00006_0.443_S_0.905_D_0_B.tiff,00006_0.443_S_0.905_D_0_B.tiff,1,1
275,-2.3959020795212944,0.8739258263085317,1,4,1_4,0,1,1_0_4_1,/home/emma/Documents/SBB/datasets/exp199/train/00007_-2.396_S_0.874_D_0_B.tiff,00007_-2.396_S_0.874_D_0_B.tiff,1,1
355,-1.273409212885646,0.6059096306261403,3,4,3_4,0,1,1_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00008_-1.273_S_0.606_D_0_B.tiff,00008_-1.273_S_0.606_D_0_B.tiff,1,1
273,0.848323744611843,2.7329925604781646,6,7,6_7,0,1,1_0_7_6,/home/emma/Documents/SBB/datasets/exp199/train/00009_0.848_S_2.733_D_0_B.tiff,00009_0.848_S_2.733_D_0_B.tiff,1,1
36,-0.7178696216418402,-0.091328901695709,3,3,3_3,0,1,1_0_3_3,/home/emma/Documents/SBB/datasets/exp199/train/00010_-0.718_S_-0.091_D_0_B.tiff,00010_-0.718_S_-0.091_D_0_B.tiff,1,1
611,-1.0007146079836169,-0.5388961513985318,3,2,3_2,0,1,1_0_2_3,/home/emma/Documents/SBB/datasets/exp199/train/00011_-1.001_S_-0.539_D_0_B.tiff,00011_-1.001_S_-0.539_D_0_B.tiff,1,1
466,-0.8046282966433268,1.356884138862879,3,5,3_5,0,1,1_0_5_3,/home/emma/Documents/SBB/datasets/exp199/train/00012_-0.805_S_1.357_D_0_B.tiff,00012_-0.805_S_1.357_D_0_B.tiff,1,1
290,0.5215846286994827,0.027524394671579,5,3,5_3,0,1,1_0_3_5,/home/emma/Documents/SBB/datasets/exp199/train/00013_0.522_S_0.028_D_0_B.tiff,00013_0.522_S_0.028_D_0_B.tiff,1,1
292,-1.0203172616842369,0.3041353761929903,3,4,3_4,0,1,1_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00014_-1.02_S_0.304_D_0_B.tiff,00014_-1.02_S_0.304_D_0_B.tiff,1,1
341,-0.7307279212246225,2.3166478203373604,3,7,3_7,0,1,1_0_7_3,/home/emma/Documents/SBB/datasets/exp199/train/00015_-0.731_S_2.317_D_0_B.tiff,00015_-0.731_S_2.317_D_0_B.tiff,1,1
555,1.0126446725927538,0.3868299938876333,6,4,6_4,0,1,1_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00016_1.013_S_0.387_D_0_B.tiff,00016_1.013_S_0.387_D_0_B.tiff,1,1
4,-0.3644998986663632,2.136046532489643,4,6,4_6,0,1,1_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00017_-0.364_S_2.136_D_0_B.tiff,00017_-0.364_S_2.136_D_0_B.tiff,1,1
757,0.8632582108074064,0.681608799424732,6,4,6_4,0,1,1_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00018_0.863_S_0.682_D_0_B.tiff,00018_0.863_S_0.682_D_0_B.tiff,1,1
